#,Data-set path,Unit Test Grade,ChatGPT Grade,Execution Time
1,00001_00001,100,95,3.1701091
2,00002_00005,100,82.5,2.2815652
3,00003_00001,100,95,0.5150207
4,00005_00001,100,95,1.9507222
5,00006_00001,100,75,1.5207095
6,00007_00001,100,72.5,1.5048496
7,00008_00001,100,67.5,0.2119052
8,00008_00002,100,95,1.7806638
9,00008_00003,100,95,0.2184646
10,00009_00002,100,87.5,1.5334229
11,00010_00001,100,100,1.6503643
12,00010_00002,100,100,1.546502
13,00010_00003,100,100,1.6511531
14,00012_00001,100,85,2.7295818
15,00015_00007,100,32.5,0.2532439
16,00016_00001,100,85,1.9220779
17,00019_00004,100,77.5,2.7544222
18,00020_00019,100,87.5,1.7524653
19,00021_00001,100,57.5,0.2111168
20,00021_00002,100,100,1.636004
21,00022_00001,100,92.5,0.1951972
22,00023_00002,100,70,0.1971006
23,00024_00001,100,100,0.1964644
24,00025_00008,100,87.5,2.9900815
25,00026_00001,100,70,0.219262
26,00027_00004,100,95,1.6328318
27,00028_00004,100,85,0.194524
28,00029_00002,100,82.5,3.0826115
29,00030_00001,100,97.5,1.6097732
30,00031_00001,100,95,1.4956229
31,00031_00002,100,95,1.6791026
32,00032_00001,100,17.5,0.391648
33,00034_00002,100,100,0.2179113
34,00036_00001,100,72.5,2.4855359
35,00038_00002,100,62.5,0.3628916
36,00038_00003,100,95,0.3137771
37,00039_00001,100,85,0.2096764
38,00043_00001,100,60,0.1932046
39,00044_00001,100,100,2.917481
40,00045_00001,100,90,4.0379752
41,00046_00001,100,100,1.6793319
42,00046_00002,100,95,1.689768
43,00048_00001,100,40,0.2053664
44,00048_00003,100,37.5,0.1975467
45,00049_00001,100,90,2.1359541
46,00049_00002,100,85,1.9094219
47,00049_00003,100,95,1.9113254
48,00049_00004,100,100,1.6626926
49,00049_00005,100,87.5,1.8969675
50,00049_00006,100,100,1.6277147
51,00049_00007,100,52.5,1.5541687
52,00050_00001,100,95,0.2036591
53,00051_00001,100,100,0.1998915
54,00052_00001,100,87.5,0.2098764
55,00053_00005,100,95,2.9670253
56,00054_00002,100,90,2.1451034
57,00055_00004,100,97.5,3.2150485
58,00055_00005,100,92.5,4.0795011
59,00056_00005,100,90,3.6394309
60,00057_00004,100,97.5,2.7539989
61,00058_00001,100,100,2.9705691
62,00059_00001,100,90,2.7782705
63,00060_00001,100,100,2.8649102
64,00060_00002,100,92.5,2.4851949
65,00061_00005,100,97.5,3.4059704
66,00061_00006,100,100,2.486451
67,00062_00001,100,65,2.5242787
68,00063_00004,100,100,2.4031703
69,00064_00003,100,80,3.095433
70,00065_00001,100,50,0.2940001
71,00066_00013,100,77.5,2.2409403
72,00069_00003,100,75,2.9264869
73,00071_00001,100,82.5,0.343801
74,00072_00001,100,75,0.2923673
75,00073_00001,100,52.5,0.3061537
76,00073_00002,100,55,0.4486568
77,00074_00001,100,90,2.38314
78,00075_00001,100,97.5,2.2608969
79,00076_00001,100,95,2.7157589
80,00077_00010,100,87.5,2.1373409
81,00078_00003,100,100,0.2796742
82,00079_00001,100,100,2.2372198
83,00080_00003,100,97.5,2.3283343
84,00081_00003,100,40,3.0146743
85,00082_00001,100,95,2.3907882
86,00083_00001,100,95,2.9869901
87,00085_00003,100,85,3.1107115
88,00087_00014,100,95,2.4468031
89,00088_00007,100,85,4.0949498
90,00089_00001,100,87.5,2.3776621
91,00089_00002,100,82.5,2.1585709
92,00090_00002,100,65,0.3098246
93,00091_00001,100,95,1.6754914
94,00092_00001,100,97.5,1.7544739
95,00093_00002,100,80,1.6493749
96,00094_00001,100,95,1.7098825
97,00094_00002,100,65,1.5948899
98,00095_00001,100,65,1.776397
99,00096_00009,100,100,1.62684
100,00097_00003,100,50,1.7784031
101,00098_00002,100,90,0.1888353
102,00099_00002,100,70,0.2070517
103,00100_00001,100,42.5,0.2030522
104,00101_00003,100,95,1.5360656
105,00102_00003,100,82.5,1.5471242
106,00103_00003,100,75,1.612708
107,00104_00001,100,90,1.5853912
108,00105_00003,100,97.5,0.1937558
109,00107_00001,100,90,1.5738297
110,00108_00001,100,82.5,2.9959175
111,00109_00003,100,90,1.5298966
112,00110_00001,100,92.5,2.0225551
113,00111_00001,100,92.5,1.4922194
114,00112_00002,100,92.5,0.191628
115,00113_00001,100,65,1.7385608
116,00114_00001,100,60,1.6122734
117,00115_00001,100,77.5,1.5882481
118,00115_00002,100,77.5,1.6382884
119,00117_00001,100,95,1.4901
120,00118_00001,100,92.5,1.8597465
121,00118_00002,100,100,1.5988465
122,00119_00001,100,100,1.5895162
123,00121_00001,100,90,2.6718991
124,00122_00001,100,97.5,2.9161832
125,00123_00001,100,92.5,2.9764861
126,00124_00001,100,75,1.6186304
127,00125_00001,100,95,3.1098512
128,00126_00002,100,92.5,1.5871256
129,00127_00006,100,87.5,0.1917552
130,00128_00001,100,100,0.1934324
131,00129_00001,100,100,1.9300457
132,00130_00001,100,97.5,1.6932447
133,00132_00002,100,97.5,1.6546509
134,00133_00001,100,100,1.6613606
135,00134_00002,100,100,1.5995084
136,00134_00005,100,70,1.979512
137,00135_00001,100,90,0.2005715
138,00136_00001,100,75,0.1839656
139,00138_00001,100,90,1.8550485
140,00139_00001,100,100,1.7682792
141,00140_00002,100,70,3.0660986
142,00141_00001,100,85,0.1935526
143,00142_00003,100,90,0.1881414
144,00143_00001,100,90,0.2163725
145,00145_00003,100,100,1.5548869
146,00147_00001,100,95,0.1901786
147,00148_00001,100,80,0.22731
148,00149_00001,100,95,0.1895619
149,00150_00005,100,85,1.7314254
150,00156_00001,100,55,0.2023075
151,00157_00002,100,65,0.192666
152,00158_00001,100,80,0.1944166
153,00159_00002,100,92.5,1.7102079
154,00161_00001,100,30,0.3698899
155,00161_00002,20,95,0.3498489
156,00161_00003,20,92.5,0.3538325
157,00161_00004,100,90,0.384019
158,00163_00001,100,87.5,0.1887091
159,00165_00001,100,90,0.2032191
160,00166_00001,100,90,0.2006154
161,00168_00001,100,95,0.2208811
162,00169_00005,100,100,0.2029323
163,00170_00001,100,80,0.2037791
164,00171_00002,100,87.5,0.1862499
165,00172_00001,100,95,1.6798875
166,00173_00001,100,97.5,1.6939232
167,00174_00001,100,100,1.7384278
168,00176_00001,100,97.5,1.5896582
169,00177_00002,100,100,1.5931816
170,00179_00003,100,100,1.5844172
171,00180_00002,100,85,1.664956
172,00187_00001,100,72.5,2.9510603
173,00188_00001,100,85,0.1934981
174,00189_00007,100,62.5,0.189417
175,00189_00009,100,72.5,0.2119893
176,00190_00002,100,90,3.4182933
177,00192_00001,100,82.5,0.1970985
178,00193_00001,100,90,0.4030351
179,00194_00001,100,95,3.4886748
180,00195_00002,100,95,1.6097362
181,00196_00001,100,100,3.3085868
182,00196_00002,100,97.5,3.2598205
183,00197_00001,100,100,1.6004254
184,00199_00001,100,75,0.1906793
185,00200_00001,100,85,0.198266
186,00201_00001,100,100,1.5751408
187,00202_00001,100,87.5,0.2044387
188,00203_00001,100,80,0.1870049
189,00204_00001,100,100,1.9496308
190,00205_00001,100,77.5,0.1931037
191,00206_00001,100,97.5,3.0873915
192,00207_00002,100,87.5,1.6258246
193,00208_00001,100,82.5,0.3723414
194,00209_00001,100,90,1.5553843
195,00210_00002,100,7.5,0.1884674
196,00211_00001,0,0,0.4902004
197,00212_00001,100,100,1.6826596
198,00213_00001,100,95,1.5010584
199,00214_00001,100,100,0.1971835
200,00216_00001,100,100,1.5551118
201,00217_00003,100,77.5,1.5105314
202,00218_00001,100,100,1.5939333
203,00219_00004,100,95,1.6441257
204,00220_00001,100,80,1.7198123
205,00221_00001,100,95,1.8614144
206,00221_00002,100,100,1.576961
207,00222_00001,100,100,1.7050223
208,00222_00002,100,100,1.567001
209,00223_00004,100,75,1.6773751
210,00224_00001,0,70,1.7262752
211,00225_00001,100,90,1.7188954
212,00000_00001,100,72.5,1.8458728
213,00000_00002,100,65,1.7119287
214,00000_00003,100,75,1.561898
215,00000_00004,100,80,1.6418553
216,00004_00001,100,55,1.6115572
217,00004_00002,100,60,1.5749116
218,00004_00003,100,67.5,1.7773969
219,00004_00004,100,67.5,1.5785146
220,00004_00005,100,75,1.5393849
